COMMON_NAME,SCIENTIFIC_NAME ,LCTA_CODE,ALPHA_CODE ,AOU,NEO_STAT,NEST_LOC,NEST_TYPE,FOOD_TYPE,FORAGING_SUBSTRATE,FORAGING_TECHNIQUE,HABITAT,NOTES
"Shearwater, Audubon’s",Puffinus lherminieri,PULH,AUSH,920,R,"Ground, Cliff","Burrow, Crevice","Fish, Aquatic Inverts",Water,"Scavenger, Low Patrol","Coastal, Pelagic",NA
"Shearwater, Black-vented",Puffinus opisthomelas,PUOP,BVSH,930,R,"Ground, Cliff",Burrow,"Fish, Aquatic Inverts",Water,"Scavenger, Low Patrol","Coastal, Pelagic",NA
"Shearwater, Buller’s",Puffinus bulleri,PUBU,BUSH,962,R,Ground,Burrow,"Fish, Aquatic Inverts",Water,"Scavenger, Low Patrol","Coastal, Pelagic",NA
"Shearwater, Cory’s",Calonectris diomedea,CADI,COSH,880,R,"Ground, Cliff","Burrow, Crevice","Fish, Aquatic Inverts",Water,"Scavenger, Low Patrol","Coastal, Pelagic",NA
"Shearwater, Greater",Puffinus gravis,PUGR,GRSH,890,R,Ground,Burrow,"Fish, Aquatic Inverts",Water,"Scavenger, Low Patrol","Coastal, Pelagic",NA
"Shearwater, Manx",Puffinus puffinus,PUPU,MASH,900,R,Cliff,Burrow,"Fish, Aquatic Inverts",Water,"Scavenger, Low Patrol","Coastal, Pelagic",NA
"Shearwater, Pink-footed",Puffinus creatopus,PUCR,PFSH,910,R,Ground,Burrow,"Fish, Aquatic Inverts",Water,"Scavenger, Low Patrol","Coastal, Pelagic",NA
"Shearwater, Short-tailed",Puffinus tenuirostris,PUTE,SHOS,960,R,Ground,Burrow,Fish,Water,"Scavenger, Low Dives","Coastal, Pelagic",NA
"Shearwater, Sooty",Puffinus griseus,PUGR1,SOSH,950,R,Ground,Burrow,"Fish, Aquatic Inverts",Water,"Scavenger, Low Patrol","Coastal, Pelagic",NA
"Shoveler, Northern",Anas clypeata,ANCL,NSHO,1420,R,Ground,Scrape,"Greens, Aquatic Inverts",Water,Surface Dips,Swamp/Marsh,NA
"Shrike, Loggerhead",Lanius ludovicianus,LALU,LOSH,6220,B,"Woody Lower Canopy, Shrub",Cup,"Insects, Small Verts","Ground, Air","Swooper, Aerial Pursuit","Shrubland, Forest",NA
"Shrike, Northern",Lanius excubitor,LAEX,NSHR,6210,R,Woody Lower Canopy,Cup,"Birds, Small Mammals","Ground, Air","Swooper, Aerial Pursuit","Forest, Shrubland",NA
"Siskin, Pine",Carduelis pinus,CAPI1,PISI,5330,B,Woody Upper Canopy,Saucer,"Seeds, Insects","Foliage, Ground","Foliage Gleaner, Ground Gleaner","Forest, Urban",NA
"Skimmer, Black",Rynchops niger,RYNI,BLSK,800,R,Ground,Scrape,"Fish, Aquatic Inverts",Water,Skimmer,"Coastal, Pelagic",NA
"Skua, Great",Catharacta skua,CASK,GRSK,350,R,"Ground, Cliff",Scrape,"Fish, Birds","Water, Air","Scavenger, Piracy","Coastal, Pelagic",NA
"Skua, South Polar",Catharacta maccormicki,CAMA3,SPSK,352,R,"Ground, Cliff",Scrape,"Fish, Birds","Water, Air","Scavenger, Piracy","Coastal, Pelagic",NA
"Skylark, Eurasian",Alauda arvensis,ALAR,EUSK,4730,R,Ground,Saucer,"Seeds, Insects","Ground, Foliage","Ground Gleaner, Foliage Gleaner",Grassland,NA
"Snipe, Common",Gallinago gallinago,GAGA,COSN,2300,R,Ground,Scrape,Insects,Water,Prober,Swamp/Marsh,NA
"Solitaire, Townsend’s",Myadestes townsendi,MYTO,TOSO,7540,B,"Ground, Snag","Cup, Cavity","Insects, Fruit","Air, Foliage","Hawker, Foliage Gleaner",Forest,NA
Sora,Porzana carolina,POCA1,SORA,2140,R,"Floating, Ground",Saucer,"Seeds, Insects","Ground, Water","Ground Gleaner, Prober",Swamp/Marsh,NA
"Sparrow, American Tree",Spizella arborea,SPAR2,ATSP,5590,R,"Ground, Shrub",Cup,"Insects, Seeds","Ground, Foliage","Ground Gleaner, Foliage Gleaner","Grassland, Shrubland",NA
"Sparrow, Bachman’s",Aimophila aestivalis,AIAE,BACS,5750,R,Ground,Cup,"Seeds, Insects",Ground,Ground Gleaner,"Forest, Shrubland",NA
"Sparrow, Baird’s",Ammodramus bairdii,AMBA,BAIS,5450,A,Ground,Cup,"Insects, Seeds",Ground,Ground Gleaner,Grassland,NA
"Sparrow, Black-chinned",Spizella atrogularis,SPAT,BCSP,5650,A,"Shrub, Woody Lower Canopy",Cup,"Insects, Seeds","Ground, Foliage","Ground Gleaner, Foliage Gleaner",Shrubland,NA
"Sparrow, Black-throated",Amphispiza bilineata,AMBI,BTSP,5730,B,"Shrub, Cactus",Cup,"Insects, Seeds","Ground, Foliage","Ground Gleaner, Foliage Gleaner",Shrubland,NA
"Sparrow, Botteri’s",Aimophila botterii,AIBO,BOSP,5760,C,Ground,Cup,"Insects, Seeds",Ground,Ground Gleaner,"Grassland, Shrubland",NA
"Sparrow, Brewer’s",Spizella breweri,SPBR1,BRSP,5620,A,"Shrub, Woody Lower Canopy",Cup,"Insects, Seeds",Ground,Ground Gleaner,Shrubland,NA
"Sparrow, Cassin’s",Aimophila cassinii,AICA1,CASP,5780,B,"Ground, Shrub",Cup,"Insects, Seeds",Ground,Ground Gleaner,"Grassland, Shrubland",NA
"Sparrow, Chipping",Spizella passerina,SPPA2,CHSP,5600,A,Woody Lower Canopy,Cup,"Insects, Seeds","Ground, Foliage","Ground Gleaner, Foliage Gleaner","Forest, Forest Edge",NA
"Sparrow, Clay-colored",Spizella pallida,SPPA1,CCSP,5610,A,"Shrub, Ground",Cup,"Insects, Seeds",Ground,Ground Gleaner,"Shrubland, Forest Edge",NA
"Sparrow, Eurasian Tree",Passer montanus,PAMO1,ETSP,6883,R,Woody Upper Canopy,Cavity,"Seeds, Insects",Ground,Ground Gleaner,"Forest, Urban",NA
"Sparrow, Field",Spizella pusilla,SPPU1,FISP,5630,R,"Ground, Shrub",Cup,"Insects, Seeds","Ground, Foliage","Ground Gleaner, Foliage Gleaner","Shrubland, Forest Edge",NA
"Sparrow, Five-striped",Amphispiza quinquestriata,AMQU,FSSP,5742,R,"Shrub, Ground",Cup,"Insects, Seeds","Ground, Foliage","Ground Gleaner, Foliage Gleaner","Shrubland, Grassland",NA
"Sparrow, Fox",Passerella iliaca,PAIL,FOSP,5850,B,"Ground, Shrub",Cup,"Insects, Seeds",Ground,Ground Gleaner,"Forest, Forest Edge",NA
"Sparrow, Golden-crowned",Zonotrichia atricapilla,ZOAT,GCSP,5570,R,"Ground, Woody Lower Canopy",Cup,"Insects, Seeds",Ground,Ground Gleaner,Shrubland,NA
"Sparrow, Grasshopper",Ammodramus savannarum,AMSA,GRSP,5460,A,Ground,Cup,"Insects, Seeds",Ground,Ground Gleaner,"Grassland, Cropland",NA
"Sparrow, Harris’",Zonotrichia querula,ZOQU,HASP,5530,R,Ground,Cup,"Insects, Seeds","Ground, Foliage","Ground Gleaner, Foliage Gleaner","Shrubland, Forest",NA
"Sparrow, Henslow’s",Ammodramus henslowii,AMHE,HESP,5470,R,Ground,Cup,"Insects, Seeds",Ground,Ground Gleaner,"Grassland, Shrubland",NA
"Sparrow, House",Passer domesticus,PADO1,HOSP,6882,R,"MMS, Woody Upper Canopy","Cavity, Sphere","Seeds, Insects","Ground, Foliage","Ground Gleaner, Foliage Gleaner","Urban, Cropland",NA
"Sparrow, Lark",Chondestes grammacus,CHGR,LASP,5520,A,"Ground, Shrub",Cup,"Seeds, Insects",Ground,Ground Gleaner,"Grassland, Shrubland",NA
"Sparrow, Le Conte’s",Ammodramus leconteii,AMLE,LCSP,5480,R,Ground,Cup,"Insects, Seeds",Ground,Ground Gleaner,Swamp/Marsh,NA
"Sparrow, Lincoln’s",Melospiza lincolnii,MELI,LISP,5830,A,Ground,Cup,"Insects, Seeds",Ground,Ground Gleaner,"Swamp/Marsh, Riparian",NA
"Sparrow, Olive",Arremonops rufivirgatus,ARRU,OLSP,5860,R,"Shrub, Cactus",Sphere,"Insects, Seeds",Ground,Ground Gleaner,"Shrubland, Riparian",NA
"Sparrow, Rufous-crowned",Aimophila ruficeps,AIRU,RCSP,5800,R,"Ground, Shrub",Cup,"Insects, Seeds","Ground, Foliage","Ground Gleaner, Foliage Gleaner","Shrubland, Grassland",NA
"Sparrow, Rufous-winged",Aimophila carpalis,AICA,RWSP,5790,R,"Shrub, Cactus",Cup,"Insects, Seeds","Foliage, Air","Foliage Gleaner, Hawker","Shrubland, Grassland",NA
"Sparrow, Sage",Amphispiza belli,AMBE1,SAGS,5740,B,"Shrub, Ground",Cup,"Insects, Seeds","Ground, Foliage","Ground Gleaner, Foliage Gleaner",Shrubland,NA
"Sparrow, Savannah",Passerculus sandwichensis,PASA,SAVS,5420,B,Ground,Cup,"Insects, Seeds",Ground,Ground Gleaner,"Grassland, Swamp/Marsh",NA
"Sparrow, Seaside",Ammodramus maritimus,AMMA3,SESP,5500,R,"Ground, Shrub",Cup,"Insects, Seeds","Ground, Foliage","Ground Gleaner, Foliage Gleaner",Swamp/Marsh,NA
"Sparrow, Sharp-tailed",Ammodramus caudacutus,AMCA1,STSP,5490,R,"Ground, Shrub",Cup,"Insects, Seeds",Ground,Ground Gleaner,Swamp/Marsh,NA
"Sparrow, Song",Melospiza melodia,MEME,SOSP,5810,B,"Ground, Shrub",Cup,"Insects, Seeds","Ground, Foliage","Ground Gleaner, Foliage Gleaner","Riparian, Forest Edge",NA
"Sparrow, Swamp",Melospiza georgiana,MEGE,SWSP,5840,B,"Shrub, Ground",Cup,"Insects, Seeds",Ground,Ground Gleaner,Swamp/Marsh,NA
"Sparrow, Vesper",Pooecetes gramineus,POGR1,VESP,5400,B,Ground,Cup,"Insects, Seeds",Ground,Ground Gleaner,"Grassland, Shrubland",NA
"Sparrow, White-crowned",Zonotrichia leucophrys,ZOLE,WCSP,5540,B,"Shrub, Ground",Cup,"Insects, Seeds","Ground, Foliage","Ground Gleaner, Foliage Gleaner","Shrubland, Urban",NA
"Sparrow, White-throated",Zonotrichia albicollis,ZOAL,WTSP,5580,B,"Ground, Shrub",Cup,"Insects, Seeds","Ground, Foliage","Ground Gleaner, Foliage Gleaner","Forest, Forest Edge",NA
"Spoonbill, Roseate",Ajaia ajaja,AJAJ,ROSP,1830,R,"Woody Lower Canopy, Shrub",Platform,"Fish, Aquatic Inverts",Water,Prober,"Swamp/Marsh, Freshwater",NA
"Starling, European",Sturnus vulgaris,STVU,EUST,4930,R,"Woody Upper Canopy, MMS",Cavity,"Insects, Fruit","Ground, Foliage","Ground Gleaner, Foliage Gleaner","Grassland, Urban",NA
"Stilt, Black-necked",Himantopus mexicanus,HIME,BNST,2260,R,Ground,Scrape,"Aquatic Inverts, Insects","Water, Ground","Prober, Ground Gleaner","Swamp/Marsh, Freshwater",NA
"Stork, Wood",Mycteria americana,MYAM,WOST,1880,R,Woody Upper Canopy,Platform,"Fish, Aquatic Inverts",Water,Prober,"Swamp/Marsh, Riparian",NA
Surfbird,Aphriza virgata,APVI,SURF,2820,R,Ground,Scrape,"Insects, Aquatic Inverts","Ground, Water","Ground Gleaner, Prober",Coastal,NA
"Swallow, Bank",Riparia riparia,RIRI,BANS,6160,A,Bank,Burrow,Insects,Air,Aerial Foraging,"Freshwater, Grassland",NA
"Swallow, Barn",Hirundo rustica,HIRU,BARS,6130,A,MMS,Cup,"Insects, Fruit",Air,Aerial Foraging,"Freshwater, Grassland",NA
"Swallow, Cave",Hirundo fulva,HIFU,CASW,6121,C,"Cave, MMS",Cup,Insects,Air,Aerial Foraging,"Freshwater, Grassland",NA
"Swallow, Cliff",Hirundo pyrrhonota,HIPY,CLSW,6120,A,"MMS, Cliff",Cup,"Insects, Fruit",Air,Aerial Foraging,"Freshwater, Grassland",NA
"Swallow, Northern Rough-winged",Stelgidopteryx serripennis,STSE,NRWS,6170,A,"Bank, Cliff","Burrow, Crevice",Insects,Air,Aerial Foraging,"Freshwater, Grassland",NA
"Swallow, Tree",Tachycineta bicolor,TABI,TRES,6140,B,"Snag, Woody Upper Canopy",Cavity,"Insects, Fruit","Air, Foliage","Aerial Foraging, Foliage Gleaner","Freshwater, Grassland",NA
"Swallow, Violet-green",Tachycineta thalassina,TATH,VGSW,6150,A,"Snag, Woody Upper Canopy",Cavity,Insects,Air,Aerial Foraging,Forest,NA
"Swan, Mute",Cygnus olor,CYOL,MUSW,1782,R,Ground,Platform,"Greens, Aquatic Inverts",Water,"Surface Dips, Dabbler","Freshwater, Swamp/Marsh",NA
"Swan, Trumpeter",Cygnus buccinator,CYBU,TRUS,1810,R,Ground,Platform,"Greens, Aquatic Inverts",Water,"Surface Dips, Dabbler","Freshwater, Swamp/Marsh",NA
"Swan, Whistling",Cygnus columbianus,CYCO1,WHSW,1800,R,Ground,Platform,"Greens, Aquatic Inverts",Water,"Surface Dips, Dabbler","Freshwater, Tundra",NA
"Swan, Whooper",Cygnus cygnus,CYCY,WHOS,1790,R,Ground,Platform,"Greens, Aquatic Inverts",Water,"Surface Dips, Dabbler","Coastal, Tundra",NA
"Swift, Black",Cypseloides niger,CYNI,BLSW,4220,A,Cliff,Saucer,Insects,Air,Aerial Foraging,"Rocky Slope, Shoreline",NA
"Swift, Chimney",Chaetura pelagica,CHPE,CHSW,4230,A,"MMS, Woody Upper Canopy",Saucer,Insects,Air,Aerial Foraging,"Forest, Urban",NA
"Swift, Vaux’s",Chaetura vauxi,CHVA,VASW,4240,A,"Snag, MMS",Saucer,Insects,Air,Aerial Foraging,Forest,NA
"Swift, White-throated",Aeronautes saxatalis,AESA,WTSW,4250,A,Cliff,Crevice,Insects,Air,Aerial Foraging,"Rocky Slope, Shoreline",NA
"Tanager, Hepatic",Piranga flava,PIFL,HETA,6090,A,Woody Upper Canopy,Saucer,"Insects, Fruit","Foliage, Air","Foliage Gleaner, Hawker","Forest, Riparian",NA
"Tanager, Scarlet",Piranga olivacea,PIOL,SCTA,6080,A,Woody Upper Canopy,Saucer,"Insects, Fruit","Air, Foliage","Hover Gleaner, Foliage Gleaner",Forest,NA
"Tanager, Summer",Piranga rubra,PIRU,SUTA,6100,A,Woody Upper Canopy,Cup,"Insects, Fruit","Foliage, Air","Foliage Gleaner, Hawker","Forest, Riparian",NA
"Tanager, Western",Piranga ludoviciana,PILU,WETA,6070,A,Woody Upper Canopy,Cup,"Insects, Fruit","Foliage, Air","Foliage Gleaner, Hawker",Forest,NA
"Tattler, Wandering",Heteroscelus incanus,HEIN,WATA,2590,R,Ground,Scrape,"Insects, Aquatic Inverts",Water,Prober,"Freshwater, Riparian",NA
"Teal, Blue-winged",Anas discors,ANDI,BWTE,1400,R,Ground,Scrape,"Seeds, Greens",Water,"Surface Dips, Dabbler","Freshwater, Swamp/Marsh",NA
"Teal, Cinnamon",Anas cyanoptera,ANCY,CITE,1410,R,Ground,Scrape,"Seeds, Insects",Water,"Surface Dips, Dabbler","Swamp/Marsh, Freshwater",NA
"Teal, Green-winged",Anas crecca,ANCR,AGWT,1390,R,Ground,Scrape,"Seeds, Aquatic Inverts","Ground, Water","Ground Gleaner, Dabbler","Swamp/Marsh, Freshwater",NA
"Tern, Aleutian",Sterna aleutica,STAL1,ALTE,730,R,Ground,Scrape,"Fish, Aquatic Inverts",Water,High Dives,"Coastal, Pelagic",NA
"Tern, Arctic",Sterna paradisaea,STPA1,ARTE,710,R,Ground,Scrape,"Fish, Aquatic Inverts",Water,High Dives,"Tundra, Coastal",NA
"Tern, Black",Chlidonias niger,CHNI,BLTE,770,R,"Floating, Ground","Platform, Scrape","Insects, Aquatic Inverts","Air, Water","Hawker, Skimmer",Swamp/Marsh,NA
"Tern, Caspian",Sterna caspia,STCA1,CATE,640,R,Ground,Scrape,"Fish, Aquatic Inverts",Water,High Dives,"Coastal, Freshwater",NA
"Tern, Common",Sterna hirundo,STHI,COTE,700,R,Ground,Scrape,"Fish, Aquatic Inverts",Water,High Dives,"Coastal, Tundra",NA
"Tern, Elegant",Sterna elegans,STEL,ELTE,660,R,Ground,Scrape,Fish,Water,"Scavenger, High Dives","Coastal, Pelagic",NA
"Tern, Forster’s",Sterna forsteri,STFO,FOTE,690,R,"Floating, Ground","Platform, Saucer","Fish, Insects","Water, Air","High Dives, Aerial Foraging",Swamp/Marsh,NA
"Tern, Gull-billed",Sterna nilotica,STNI,GBTE,630,R,"Ground, Floating",Scrape,"Insects, Aquatic Inverts","Air, Ground","Hawker, Hover & Pounce","Shoreline, Pelagic",NA
"Tern, Least",Sterna antillarum,STAN1,LETE,740,R,Ground,Scrape,"Fish, Aquatic Inverts",Water,"High Dives, Skimmer","Coastal, Freshwater",NA
"Tern, Roseate",Sterna dougallii,STDO,ROST,720,R,Ground,Scrape,"Fish, Aquatic Inverts",Water,High Dives,"Coastal, Freshwater",NA
"Tern, Royal",Sterna maxima,STMA1,ROYT,650,R,Ground,Scrape,"Fish, Aquatic Inverts",Water,"High Dives, Skimmer",Coastal,NA
"Tern, Sandwich",Sterna sandvicensis,STSA,SATE,670,R,Ground,Scrape,"Fish, Aquatic Inverts",Water,"High Dives, Skimmer",Coastal,NA
"Tern, Sooty",Sterna fuscata,STFU,SOTE,750,R,Ground,Scrape,"Fish, Aquatic Inverts",Water,Hover & Pick,"Coastal, Freshwater",NA
"Thrasher, Bendire’s",Toxostoma bendirei,TOBE,BETH,7080,B,"Shrub, Woody Lower Canopy",Cup,"Insects, Fruit","Ground, Foliage","Ground Gleaner, Foliage Gleaner",Shrubland,NA
"Thrasher, Brown",Toxostoma rufum,TORU,BRTH,7050,R,"Shrub, Woody Lower Canopy",Cup,"Insects, Small Verts","Ground, Foliage","Ground Gleaner, Foliage Gleaner","Shrubland, Forest Edge",NA
"Thrasher, California",Toxostoma redivivum,TORE,CATH,7100,R,"Shrub, Woody Lower Canopy",Cup,"Insects, Fruit","Ground, Foliage","Digging, Foliage Gleaner","Shrubland, Riparian",NA
"Thrasher, Crissal",Toxostoma dorsale,TODO,CRTH,7120,R,"Shrub, Woody Lower Canopy",Cup,"Insects, Fruit",Ground,Digging,"Shrubland, Riparian",NA
"Thrasher, Curve-billed",Toxostoma curvirostre,TOCU,CBTH,7070,R,"Shrub, Woody Lower Canopy",Cup,"Insects, Fruit","Ground, Foliage","Ground Gleaner, Foliage Gleaner",Shrubland,NA
"Thrasher, Le Conte’s",Toxostoma lecontei,TOLE,LCTH,7110,R,"Shrub, Woody Lower Canopy",Cup,"Insects, Small Verts","Ground, Foliage","Digging, Foliage Gleaner",Shrubland,NA
"Thrasher, Long-billed",Toxostoma longirostre,TOLO,LBTH,7060,R,"Shrub, Woody Lower Canopy",Cup,"Insects, Small Verts","Ground, Foliage","Ground Gleaner, Foliage Gleaner","Shrubland, Riparian",NA
"Thrasher, Sage",Oreoscoptes montanus,ORMO,SATH,7020,B,"Shrub, Ground",Cup,"Insects, Fruit",Ground,Ground Gleaner,Shrubland,NA
"Thrush, Gray-cheeked",Catharus minimus,CAMI2,GCTH,7570,A,"Shrub, Woody Lower Canopy",Cup,"Insects, Fruit",Ground,Ground Gleaner,"Forest Edge, Riparian",NA
"Thrush, Hermit",Catharus guttatus,CAGU,HETH,7590,B,"Ground, Woody Lower Canopy",Cup,"Insects, Fruit","Ground, Foliage","Ground Gleaner, Foliage Gleaner","Forest, Forest Edge",NA
"Thrush, Swainson’s",Catharus ustulatus,CAUS,SWTH,7580,A,"Shrub, Woody Lower Canopy",Cup,"Insects, Fruit","Foliage, Air","Foliage Gleaner, Hawker","Forest, Forest Edge",NA
"Thrush, Varied",Ixoreus naevius,IXNA,VATH,7630,R,Woody Lower Canopy,Cup,"Insects, Fruit","Ground, Foliage","Ground Gleaner, Foliage Gleaner",Forest,NA
"Thrush, Wood",Hylocichla mustelina,HYMU,WOTH,7550,A,Woody Upper Canopy,Cup,"Insects, Fruit","Ground, Foliage","Ground Gleaner, Foliage Gleaner","Forest, Riparian",NA
"Tit, Siberian",Parus cinctus,PACI,SITI,7390,R,"Snag, Woody Lower Canopy",Cavity,"Insects, Seeds","Foliage, Bark","Foliage Gleaner, Bark Gleaner","Forest, Riparian",NA
"Titmouse, Bridled",Parus wollweberi,PAWO,BRTI,7340,R,"Woody Lower Canopy, Snag",Cavity,Insects,"Foliage, Bark","Foliage Gleaner, Bark Gleaner","Forest, Shrubland",NA
"Titmouse, Plain",Parus inornatus,PAIN,PLTI,7330,R,"Woody Lower Canopy, Snag",Cavity,"Insects, Fruit","Foliage, Bark","Foliage Gleaner, Bark Gleaner",Forest,NA
"Titmouse, Tufted",Parus bicolor,PABI,TUTI,7310,R,"Woody Upper Canopy, Snag",Cavity,"Insects, Seeds","Foliage, Bark","Foliage Gleaner, Bark Gleaner","Forest, Shrubland",NA
"Towhee, Abert’s",Pipilo aberti,PIAB,ABTO,5920,R,"Shrub, Woody Lower Canopy",Cup,"Seeds, Insects",Ground,Ground Gleaner,"Shrubland, Riparian",NA
"Towhee, Brown",Pipilo fuscus,PIFU,BRTO,5910,R,"Shrub, Woody Lower Canopy",Cup,"Seeds, Insects",Ground,Ground Gleaner,"Shrubland, Riparian",NA
"Towhee, Green-tailed",Pipilo chlorurus,PICH,GTTO,5900,A,"Shrub, Ground",Cup,"Insects, Seeds",Ground,Ground Gleaner,"Shrubland, Riparian",NA
"Towhee, Rufous-sided",Pipilo erythrophthalmus,PIER,RSTO,5870,B,"Ground, Shrub",Cup,"Insects, Seeds","Ground, Foliage","Ground Gleaner, Foliage Gleaner","Forest Edge, Shrubland",NA
"Trogon, Elegant",Trogon elegans,TREL,ELTR,3890,C,"Snag, Bank",Cavity,"Insects, Fruit",Air,"Hawker, Hover Gleaner","Forest, Shrubland",NA
"Tropicbird, Red-billed",Phaethon aethereus,PHAE,RBTR,1130,R,"Ground, Cliff","Burrow, Crevice","Fish, Aquatic Inverts",Water,High Dives,"Coastal, Pelagic",NA
"Tropicbird, White-tailed",Phaethon lepturus,PHLE,WTTR,1120,R,"Ground, Cliff","Burrow, Crevice","Fish, Aquatic Inverts",Water,High Dives,"Coastal, Pelagic",NA
"Turkey, Wild",Meleagris gallopavo,MEGA,WITU,3100,R,Ground,Scrape,"Seeds, Insects",Ground,Ground Gleaner,"Forest, Riparian",NA
"Turnstone, Black",Arenaria melanocephala,ARME,BLTU,2840,R,Ground,Scrape,"Aquatic Inverts, Fruit",Ground,Ground Gleaner,"Shoreline, Tundra",NA
"Turnstone, Ruddy",Arenaria interpres,ARIN,RUTU,2830,R,Ground,Scrape,"Insects, Aquatic Inverts","Ground, Water","Ground Gleaner, Prober","Coastal, Tundra",NA
"Tyranulet, Northern Beardless",Camptostoma imberbe,CAIM,NBTY,4720,C,Woody Upper Canopy,Sphere,"Insects, Fruit",Air,Hawker,"Riparian, Forest",NA
Veery,Catharus fuscescens,CAFU2,VEER,7560,A,"Ground, Shrub",Cup,"Insects, Fruit",Ground,"Ground Gleaner, Swooper",Forest,NA
Verdin,Auriparus flaviceps,AUFL,VERD,7460,R,"Shrub, Cactus",Sphere,"Insects, Fruit","Foliage, Bark","Foliage Gleaner, Bark Gleaner",Shrubland,NA
"Vireo, Bell’s",Vireo bellii,VIBE,BEVI,6330,A,"Shrub, Woody Lower Canopy",Cup,"Insects, Fruit",Foliage,Foliage Gleaner,"Riparian, Shrubland",NA
"Vireo, Black-capped",Vireo atricapillus,VIAT,BCVI,6300,A,Woody Lower Canopy,Cup,"Insects, Seeds",Foliage,Foliage Gleaner,"Forest, Shrubland",NA
"Vireo, Black-whiskered",Vireo altiloquus,VIAL,BWVI,6230,D,Woody Lower Canopy,Cup,"Insects, Fruit",Foliage,Foliage Gleaner,Swamp/Marsh,NA
"Vireo, Gray",Vireo vicinior,VIVI,GRVI,6340,A,"Shrub, Woody Lower Canopy",Cup,Insects,"Foliage, Ground","Foliage Gleaner, Ground Gleaner","Shrubland, Forest",NA
"Vireo, Hutton’s",Vireo huttoni,VIHU,HUVI,6320,R,Woody Lower Canopy,Cup,"Insects, Fruit",Foliage,Foliage Gleaner,Forest,NA
"Vireo, Philadelphia",Vireo philadelphicus,VIPH,PHVI,6260,A,Woody Upper Canopy,Cup,"Insects, Fruit","Air, Foliage","Hover Gleaner, Foliage Gleaner",Forest,NA
"Vireo, Red-eyed",Vireo olivaceus,VIOL,REVI,6240,A,"Shrub, Woody Upper Canopy",Cup,"Insects, Fruit","Air, Foliage","Hover Gleaner, Foliage Gleaner","Forest, Urban",NA
"Vireo, Solitary",Vireo solitarius,VISO,SOVI,6290,A,Woody Lower Canopy,Cup,"Insects, Fruit","Foliage, Air","Foliage Gleaner, Hawker",Forest,NA
"Vireo, Warbling",Vireo gilvus,VIGI,WAVI,6270,A,"Woody Upper Canopy, Shrub",Cup,"Insects, Fruit","Foliage, Air","Foliage Gleaner, Hover Gleaner","Forest, Riparian",NA
"Vireo, White-eyed",Vireo griseus,VIGR,WEVI,6310,A,"Shrub, Woody Lower Canopy",Cup,"Insects, Fruit",Foliage,Foliage Gleaner,"Shrubland, Riparian",NA
"Vireo, Yellow-throated",Vireo flavifrons,VIFL,YTVI,6280,A,Woody Upper Canopy,Cup,"Insects, Fruit",Foliage,Foliage Gleaner,"Forest, Forest Edge",NA
"Vulture, Black",Coragyps atratus,COAT,BLVU,3260,R,"Cliff, Ground",None,"Carrion, Small Verts",Ground,"Scavenger, High Patrol","Grassland, Shrubland",NA
"Vulture, Turkey",Cathartes aura,CAAU,TUVU,3250,B,"Cliff, Snag",None,Carrion,Ground,"Scavenger, High Patrol","Grassland, Shrubland",NA
"Wagtail, White",Motacilla alba,MOAL,WHWA,6940,R,"Bank, Cliff",Crevice,"Insects, Aquatic Inverts","Ground, Air","Ground Gleaner, Hawker","Shoreline, Tundra",NA
"Wagtail, Yellow",Motacilla flava,MOFL,YWAG,6960,R,Ground,Cup,"Insects, Aquatic Inverts","Ground, Air","Ground Gleaner, Hawker","Shoreline, Tundra",NA
"Warbler, Arctic",Phylloscopus borealis,PHBO,ARWA,7470,R,Ground,Oven,Insects,"Foliage, Air","Foliage Gleaner, Hover Gleaner","Forest, Shrubland",NA
"Warbler, Bachman’s",Vermivora bachmanii,VEBA,BAWA,6400,A,"Vine Tangle, Woody Lower Canopy",Cup,Insects,Foliage,Foliage Gleaner,Swamp/Marsh,NA
"Warbler, Bay-breasted",Dendroica castanea,DECA2,BBWA,6600,A,Woody Upper Canopy,Cup,"Insects, Fruit","Foliage, Air","Foliage Gleaner, Hawker","Forest, Shrubland",NA
"Warbler, Black-and-white",Mniotilta varia,MNVA,BAWW,6360,A,"Ground, Woody Lower Canopy",Cup,Insects,"Bark, Air","Bark Gleaner, Hawker",Forest,NA
"Warbler, Blackburnian",Dendroica fusca,DEFU,BLBW,6620,A,Woody Upper Canopy,Cup,"Insects, Fruit","Foliage, Air","Foliage Gleaner, Hover Gleaner",Forest,NA
"Warbler, Blackpoll",Dendroica striata,DEST,BLPW,6610,A,Woody Lower Canopy,Cup,"Insects, Fruit","Foliage, Bark","Foliage Gleaner, Bark Gleaner",Forest,NA
"Warbler, Black-throated Blue",Dendroica caerulescens,DECA1,BTBW,6540,A,"Shrub, Woody Lower Canopy",Cup,"Insects, Seeds","Air, Foliage","Hover Gleaner, Foliage Gleaner",Forest,NA
"Warbler, Black-throated Gray",Dendroica nigrescens,DENI,BTYW,6650,A,Woody Upper Canopy,Cup,Insects,"Foliage, Air","Foliage Gleaner, Hover Gleaner","Forest, Shrubland",NA
"Warbler, Black-throated green",Dendroica virens,DEVI,BTNW,6670,A,Woody Upper Canopy,Cup,Insects,"Foliage, Air","Foliage Gleaner, Hawker",Forest,NA
"Warbler, Blue-winged",Vermivora pinus,VEPI,BWWA,6410,A,"Ground, Vine Tangle",Cup,Insects,Foliage,Foliage Gleaner,"Shrubland, Riparian",NA
